n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
10,50,0.5,16,1,0.0386134422539003,2278.08433513868,1.61387260910646,0.025,0.113,0.026,0.18,-0.352869601899812
5,20,0.4,7,1,0.0960773052854528,1591.29482984048,1.98859723106693,0.032,0.113,0.038,0.147,-0.353217676329217
8,40,0.6,19,1,0.0264266599782882,2290.70821160709,1.51217939111147,0.028,0.164,0.026,0.174,-0.402255868552504
5,20,0.45,8,2,0.0874774940360067,1494.66906724583,2.05385795647079,0.038,0.147,0.037,0.139,-0.404174848248781
10,20,0.3,11,1,-0.0440889758058857,2329.38746411912,1.61284627378861,0.037,0.111,0.027,0.146,-0.40990422997879
10,20,0.2,7,1,-0.00819453622515886,2799.2571968982,1.57815603037247,0.041,0.126,0.04,0.188,-0.421047279417496
8,40,0.2,8,1,-0.00723877555573101,2659.47787146406,1.49119491097467,0.035,0.164,0.035,0.174,-0.431384373079995
10,50,0.45,18,2,0.040898538218017,2169.00888707282,1.42632521904646,0.056,0.572,0.042,0.326,-0.989283539332988
8,50,0.2,8,2,0.138193664282826,3097.81330288906,1.25978402021851,0.112,0.668,0.084,0.406,-1.10289407259457
8,50,0.5,17,1,0.0997700608656039,2393.65472156634,1.53481319234131,0.074,0.668,0.056,0.406,-1.13802852229021
8,50,0.35,12,2,0.0990926787584712,2569.24314949423,1.45234589670097,0.091,0.668,0.073,0.406,-1.15567975343691
8,50,0.4,12,1,0.0815881393996703,2612.89625964351,1.5767877838323,0.079,0.668,0.059,0.406,-1.15744582600138
5,50,0.45,10,1,0.0977029772514997,1712.11312442326,1.67694186916168,0.099,0.668,0.067,0.406,-1.22438555344351
5,50,0.4,8,1,0.0915988578446181,1755.34021973251,1.84146532149057,0.1,0.668,0.069,0.406,-1.24778066331781
5,50,0.6,12,1,0.0826897154128246,1546.10815786192,1.80089937509699,0.092,0.668,0.063,0.406,-1.24909481420378
5,50,0.5,9,1,0.0961379131047876,1701.40791798337,1.76071798394859,0.116,0.668,0.074,0.406,-1.2588634893909
5,50,0.3,7,1,0.0984089137734904,1748.49592464675,1.92064666879631,0.109,0.668,0.076,0.406,-1.2652309568738
5,50,0.35,7,1,0.0980184242005722,1679.73177283036,1.83522792476709,0.116,0.668,0.085,0.406,-1.27651777963462
5,10,0.2,5,2,0.138819861568727,1952.44108193199,1.64766266579183,0.164,0.668,0.118,0.406,-1.28432435091386
5,10,0.5,11,1,0.110873933861579,1986.39109738155,1.56049117185156,0.108,0.714,0.073,0.48,-1.3208556284545
5,10,0.25,8,2,0.0973057528290546,1984.45111211215,1.60714880367453,0.123,0.699,0.09,0.457,-1.33318657193279
5,50,0.25,6,2,0.104544903026281,1541.36854088368,1.87897965943536,0.146,0.668,0.11,0.406,-1.33628463587307
5,50,0.15,4,2,0.1578367797467,1307.12376521719,1.41052740245249,0.2,0.668,0.149,0.406,-1.34085977223769
5,30,0.4,9,1,0.0985523936488752,1800.75491649776,1.83648608510051,0.112,0.699,0.079,0.456,-1.34105846903629
5,10,0.45,11,1,0.0961281153805078,1935.73201574298,1.6662594502433,0.105,0.714,0.069,0.48,-1.34171122885667
5,10,0.35,9,1,0.101440460167297,1959.03988286148,1.67330613435112,0.104,0.714,0.076,0.48,-1.34193815912474
5,10,0.4,10,1,0.0949163753233229,1964.573987149,1.71477310270731,0.1,0.714,0.071,0.48,-1.34333223558996
