n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
8,20,0.4,13,0,0.0657047930443538,2819.12044595709,1.52050879318618,0.035,0.089,0.029,0.079,0.064,0.168,-0.17739006397641
8,40,0.35,12,0,0.0724818283187995,2762.07365276442,1.51009073475014,0.029,0.129,0.022,0.057,0.051,0.186,-0.177423562517994
10,20,0.6,20,0,0.0803241650493344,2271.0636190723,1.52177884210684,0.034,0.098,0.025,0.068,0.059,0.166,-0.183300538207735
10,20,0.45,16,0,0.0702424857328157,2403.1632111621,1.55538219786432,0.033,0.1,0.026,0.064,0.059,0.164,-0.188137573495511
8,20,0.6,19,1,0.0607512937099997,2522.1121385144,1.46385926892039,0.031,0.092,0.029,0.077,0.06,0.169,-0.188529026256319
8,30,0.6,20,0,0.0740713411576631,2431.08847318876,1.54205881874798,0.033,0.096,0.025,0.076,0.058,0.172,-0.188580117057697
12,10,0.3,11,0,0.0356955479828332,2733.33565699164,1.524164909855,0.025,0.086,0.019,0.079,0.044,0.165,-0.189054160153085
8,40,0.5,15,1,0.0486685609929044,2758.66844574406,1.46823831811434,0.028,0.108,0.029,0.065,0.057,0.173,-0.190221848531327
10,10,0.45,23,1,0.111125419049053,3321.10031935684,1.30072419854803,0.041,0.165,0.029,0.103,0.07,0.268,-0.190891984837908
10,10,0.5,25,2,0.0791129454729203,3064.30799374496,1.34486065625118,0.038,0.139,0.029,0.09,0.067,0.229,-0.19815772046495
12,10,0.2,9,0,0.0127476513338853,2774.69296942811,1.48691844041266,0.026,0.086,0.023,0.071,0.049,0.157,-0.203209544235975
8,50,0.5,16,1,0.0290739209217439,2585.89325568243,1.58585792007996,0.031,0.087,0.031,0.059,0.062,0.146,-0.208217208302131
8,30,0.15,6,1,0.147081004837477,3360.74801964331,1.46783479451957,0.036,0.137,0.037,0.167,0.073,0.304,-0.208665073632315
12,10,0.5,18,1,0.037712243736745,2206.20410476238,1.60813563766423,0.026,0.081,0.026,0.068,0.052,0.149,-0.213791114791559
10,30,0.6,30,4,0.0979206667149737,2902.71532052573,1.38432583266592,0.037,0.162,0.029,0.092,0.066,0.254,-0.215376150525332
8,50,0.6,19,1,0.0496651458473555,2389.21357571466,1.59521537322985,0.03,0.099,0.03,0.066,0.06,0.165,-0.215395712689897
12,10,0.35,13,0,0.0388308355204653,2571.83809395289,1.54635427036415,0.025,0.096,0.021,0.087,0.046,0.183,-0.216212686818305
12,10,0.6,24,3,0.0455364451902999,1984.46467912078,1.4640427508646,0.029,0.114,0.027,0.065,0.056,0.179,-0.236644595940121
10,20,0.4,14,0,0.0561695758287563,2399.3338778496,1.62064816285038,0.032,0.102,0.029,0.09,0.061,0.192,-0.238928546563802
12,10,0.1,4,1,0.171378816672902,3250.88295574883,1.42733333077912,0.052,0.187,0.041,0.152,0.093,0.339,-0.240810368617568
12,20,0.1,4,1,0.155117332767071,3231.46041405509,1.60787432943594,0.038,0.134,0.047,0.18,0.085,0.314,-0.243097079473769
10,10,0.4,23,2,0.117397130159346,3330.1945127576,1.33488012655617,0.04,0.208,0.031,0.117,0.071,0.325,-0.245581156858391
12,20,0.15,7,1,0.127384992915308,3155.01185830408,1.4791024229664,0.035,0.136,0.034,0.18,0.069,0.316,-0.247774656466128
8,40,0.6,19,1,0.04500221630317,2358.0049714739,1.50728278747012,0.034,0.129,0.03,0.074,0.064,0.203,-0.254825813870147
12,20,0.2,7,1,0.121402765298974,3126.54740020244,1.43733356910901,0.04,0.136,0.035,0.18,0.075,0.316,-0.257003221601805
10,20,0.35,14,2,0.115950381181834,2624.10894677691,1.3974994212906,0.042,0.113,0.037,0.175,0.079,0.288,-0.259594113608381
8,10,0.4,13,0,0.0432637846611541,2726.41318643215,1.44186715429184,0.036,0.142,0.026,0.099,0.062,0.241,-0.267602271446422
8,30,0.3,11,2,0.0971646897850222,2765.17052461714,1.42319363628465,0.035,0.131,0.037,0.158,0.072,0.289,-0.267896147612586
12,30,0.1,4,1,0.153324237735862,3285.23057042489,1.52834254036999,0.043,0.153,0.05,0.191,0.093,0.344,-0.272248487779892
8,10,0.45,15,0,0.0365199882072771,2482.0466892244,1.46698808971092,0.033,0.159,0.027,0.068,0.06,0.227,-0.273076486302595
8,40,0.1,4,1,0.140891738086426,3167.2602178642,1.54808796999113,0.046,0.147,0.05,0.18,0.096,0.327,-0.278554048019477
12,30,0.2,8,1,0.119169332918527,3030.86773266049,1.47245583709887,0.033,0.153,0.042,0.191,0.075,0.344,-0.295532864158336
8,30,0.25,9,1,0.0539001787229773,3038.48839392442,1.42224755094026,0.038,0.131,0.039,0.158,0.077,0.289,-0.302400156674828
12,20,0.4,14,1,0.0687406285986507,2610.94488233641,1.44130876317078,0.031,0.13,0.028,0.171,0.059,0.301,-0.304843003601607
12,30,0.15,6,1,0.105086962666073,3125.79929458737,1.52759161625729,0.034,0.153,0.037,0.191,0.071,0.344,-0.306382234230288
10,20,0.3,11,1,0.0817203656878445,2773.01273359993,1.48378098931227,0.04,0.119,0.04,0.184,0.08,0.303,-0.311007096563386
10,20,0.5,19,2,0.0896894484037444,2463.65055590233,1.46620822438476,0.04,0.119,0.037,0.184,0.077,0.303,-0.313748846239615
10,40,0.15,6,1,0.0853918177325193,2983.12234871284,1.6063353979139,0.034,0.144,0.035,0.176,0.069,0.32,-0.315085604623229
8,30,0.5,19,1,0.0647505587301747,2396.05144662257,1.47815651292748,0.033,0.125,0.031,0.165,0.064,0.29,-0.317262520231445
10,50,0.4,17,2,0.0802469219039956,2805.59953672507,1.38220192291497,0.045,0.153,0.033,0.193,0.078,0.346,-0.341693293551248
12,30,0.4,15,1,0.0855275411357564,2568.84242211825,1.51680037639305,0.033,0.159,0.03,0.182,0.063,0.341,-0.341710375397636
10,20,0.25,12,1,0.0647560862752291,2539.93882375756,1.50850696003612,0.042,0.119,0.041,0.184,0.083,0.303,-0.345097668540505
10,40,0.2,8,1,0.0778331896730722,2745.92640343694,1.56430963656455,0.038,0.164,0.03,0.173,0.068,0.337,-0.346301453811536
12,20,0.35,12,1,0.0419484493406353,2462.55451056047,1.51035546507955,0.03,0.13,0.03,0.171,0.06,0.301,-0.346959371639296
12,20,0.45,16,1,0.0584007330158815,2353.17779959913,1.5302511085643,0.033,0.136,0.033,0.18,0.066,0.316,-0.358965487860592
5,10,0.15,4,1,0.124696194934009,2099.77079212781,1.96172010150284,0.039,0.136,0.046,0.178,0.085,0.314,-0.365487275609885
12,30,0.3,12,1,0.063841748452021,2678.14136346631,1.50269709586074,0.038,0.153,0.033,0.191,0.071,0.344,-0.367520892960738
10,40,0.35,12,1,0.0336045156879005,2646.96076554157,1.4912937181995,0.034,0.159,0.03,0.166,0.064,0.325,-0.372176817854971
12,20,0.25,9,1,0.0237068308171726,2679.67400972785,1.50266943887982,0.036,0.136,0.034,0.18,0.07,0.316,-0.378576412584417
