n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
12,50,0.4,14,0.0925579443573952,3041.15649414063,1.48021338202822,1.6535010564698
12,20,0.25,9,0.112516976892948,2990.0810546875,1.46501009682597,1.63758793475448
10,20,0.1,4,0.14452101290226,3115.43139648438,1.62315771857926,1.63679469080738
12,30,0.35,11,0.120881132781506,3079.80297851563,1.58556944593183,1.6151146653653
12,30,0.25,9,0.123808570206165,3240.01416015625,1.75166187995574,1.61216085040668
8,30,0.2,7,0.0792385712265968,3034.46215820313,1.5131231342497,1.60057759518002
12,40,0.2,8,0.108160048723221,3047.203125,1.59646468024554,1.55889849347768
8,40,0.15,7,0.119442604482174,2784.1220703125,1.34488917862051,1.55867549617416
8,10,0.1,5,0.134761184453964,2875.91015625,1.45670201614749,1.55396932455647
10,10,0.35,11,0.10481022298336,2951.86401367188,1.52039846481197,1.53627577184327
8,40,0.25,10,0.093888483941555,2705.36938476563,1.28054810924797,1.51870975945921
12,50,0.3,11,0.0686811208724976,2981.57104492188,1.54154057440505,1.50871159138932
8,30,0.25,9,0.0697134956717491,2979.92260742188,1.54736779244425,1.50226831064938
8,10,0.25,9,0.110810048878193,2750.03930664063,1.38378463594343,1.47706471957538
8,50,0.1,4,0.161619737744331,2880.0283203125,1.60609209047753,1.4355559675793
8,30,0.35,12,0.0638273432850838,2788.654296875,1.43461399680697,1.41786764335312
8,30,0.4,13,0.0716389715671539,2781.77270507813,1.45307067063036,1.40034100601492
12,40,0.4,13,0.0829008296132088,2856.02075195313,1.54620259701607,1.39271898455027
10,30,0.45,18,0.079841636121273,2749.63110351563,1.43946175345147,1.39001098618543
8,10,0.35,11,0.0871737450361252,2702.26000976563,1.41569754778987,1.37373620701188
8,40,0.35,12,0.0629573836922646,2747.01513671875,1.4583766879589,1.35159583245212
12,20,0.3,12,0.0808740481734276,2774.99877929688,1.51673171192172,1.33914111554858
12,40,0.45,15,0.0959255695343018,2784.166015625,1.54945466813523,1.33063691702407
8,40,0.3,11,0.103485032916069,2686.94848632813,1.48691911586938,1.30351440337481
8,50,0.25,8,0.137191712856293,2690.88305664063,1.52547864364926,1.30259612584766
12,30,0.4,12,0.0739796310663223,2884.77783203125,1.65713332604698,1.30162413705059
10,20,0.3,11,0.0387371554970741,2691.26831054688,1.44691287806716,1.28309258797679
12,50,0.6,20,0.0789518058300018,2684.8037109375,1.48153853165932,1.28221698510818
12,40,0.25,9,0.0846443548798561,2924.7705078125,1.73167828425434,1.27773657843801
8,10,0.4,13,0.0873931124806404,2740.14379882813,1.54995134720152,1.27758556410725
8,30,0.3,11,0.0244377143681049,2702.494140625,1.45364934732062,1.27328250767249
10,10,0.45,15,0.0551905632019043,2736.72241210938,1.53294923774773,1.25896373756355
12,30,0.5,15,0.0784522444009781,2748.67138671875,1.5872787060385,1.23984492508122
12,50,0.5,18,0.0735518410801888,2714.71728515625,1.54944379920612,1.23882532703032
12,30,0.45,15,0.0908993184566498,2724.97705078125,1.58424012520279,1.23163624403511
8,20,0.25,5,0.117422230541706,3038.97875976563,1.92774156384028,1.22865942646705
12,40,0.35,12,0.0473203659057617,2762.27709960938,1.59455179450046,1.21504567101467
10,10,0.4,14,0.068139836192131,2663.41821289063,1.51790421931632,1.21365382976644
10,20,0.35,13,0.0287819858640432,2561.24560546875,1.38597060616262,1.20405698517017
10,20,0.5,18,0.0736988112330437,2509.30810546875,1.38552461756847,1.19748229913332
10,50,0.3,12,0.0749368593096733,2519.85498046875,1.39786590352687,1.19692593625155
8,40,0.4,15,0.0831011310219765,2546.5419921875,1.43412994377945,1.19551317943003
10,50,0.2,10,0.0638116672635078,2563.0263671875,1.43281697524377,1.19402105920724
12,40,0.3,11,0.079295240342617,2755.48779296875,1.65427161866935,1.18051141464201
10,50,0.35,14,0.0813665688037872,2612.49975585938,1.5300321083421,1.16383421632106
10,50,0.15,6,0.0658087581396103,2901.56201171875,1.80874021252443,1.15863055733393
12,20,0.35,13,0.0920979604125023,2610.17236328125,1.54647627073124,1.15579405296252
12,40,0.5,16,0.108319103717804,2627.24853515625,1.57984745536714,1.15572018350692
10,50,0.25,12,0.0629554763436317,2433.87451171875,1.35219121810367,1.14463876995871
10,20,0.45,16,0.0592357255518436,2494.6591796875,1.41976483409003,1.13413007114931
10,10,0.5,16,0.0685434937477112,2605.85375976563,1.54433102463736,1.13006622887598
8,10,0.45,14,0.0408539995551109,2644.56958007813,1.55700593442881,1.12841764520442
8,10,0.5,16,0.0591513328254223,2565.89965820313,1.51595311004476,1.10909788098379
12,40,0.6,20,0.112602956593037,2495.47143554688,1.50399887906131,1.10407551307861
8,30,0.45,13,0.0393514670431614,2618.25463867188,1.55907496967958,1.09853113603545
8,40,0.6,19,0.0866771265864372,2447.83984375,1.44700515047256,1.08751181986388
8,20,0.15,5,0.162540525197983,2295.701171875,1.3778421781977,1.08039951887528
8,50,0.15,5,0.167206630110741,2300.48974609375,1.38845443960504,1.07924193659945
10,20,0.4,16,0.0575199238955975,2482.98486328125,1.46642101509236,1.07408377208449
12,20,0.4,15,0.0686877816915512,2569.94946289063,1.57656268346431,1.06207456111787
8,40,0.5,16,0.0895809084177017,2468.35205078125,1.50468048816949,1.05325247102947
8,40,0.45,17,0.0671132355928421,2420.93017578125,1.47307457955299,1.0149688318211
10,50,0.45,17,0.0712906569242477,2416.375,1.47715621858907,1.01050943833518
8,20,0.35,8,0.110977105796337,2605.46313476563,1.71822032523474,0.998219915327218
10,50,0.1,5,0.0342451632022858,2605.39892578125,1.66835264009944,0.971291448884097
