n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
10,30,0.2,7,1,0.164801734115564,3416.49862965403,1.41221245467255,0.036,0.145,0.034,0.18,-0.20059457986899
12,10,0.2,7,1,0.126551579410471,3265.76868586375,1.43537809531653,0.033,0.139,0.03,0.151,-0.206697795827995
10,30,0.25,8,1,0.145660236397103,3266.86128579834,1.40860016155191,0.036,0.139,0.03,0.17,-0.206856715468171
12,20,0.6,20,1,0.030278731005985,2039.71869805712,1.60305573911356,0.031,0.073,0.026,0.05,-0.208040908002515
10,10,0.3,10,0,0.00769343851841138,2683.43472445836,1.53123857961104,0.027,0.069,0.025,0.077,-0.209258683219775
12,40,0.15,6,1,0.145730169581189,3428.68319092565,1.4828119235918,0.03,0.133,0.038,0.181,-0.213116863231709
8,50,0.5,12,0,0.0821863432023785,2120.75900060582,1.74630388010816,0.038,0.096,0.026,0.07,-0.216406094778147
12,30,0.15,6,1,0.116523133386752,3272.86033597812,1.50371033052329,0.028,0.119,0.037,0.175,-0.229204882866671
8,50,0.45,10,0,0.093775825300315,2270.47961425402,1.70568480970102,0.035,0.102,0.026,0.103,-0.229268674957086
12,30,0.1,5,1,0.115214452054795,3166.03792904764,1.48864519698448,0.028,0.119,0.037,0.175,-0.234348171191271
10,40,0.35,13,1,0.0732819679915415,2394.62212438398,1.54096821425078,0.034,0.093,0.025,0.122,-0.235083747214338
8,30,0.5,13,0,0.101170626936448,2113.91176098369,1.63547144769412,0.037,0.09,0.03,0.13,-0.24368092978378
10,10,0.35,13,0,0.0236526431842615,2498.78402926982,1.50468390227008,0.031,0.112,0.027,0.072,-0.243876545579255
8,10,0.35,18,0,0.112927312461527,3529.10500504382,1.30425824114904,0.05,0.201,0.034,0.118,-0.244043261401186
8,40,0.1,3,1,0.202383341241913,2542.05413400454,1.36751262403527,0.056,0.159,0.056,0.166,-0.244265214461387
10,10,0.15,6,1,0.117893495145381,2960.86743270664,1.70917416314255,0.028,0.118,0.033,0.164,-0.247980549533542
12,40,0.45,16,0,0.0603265546344336,2456.47033103144,1.54920893265724,0.033,0.151,0.028,0.065,-0.248770822079718
10,30,0.3,10,1,0.131730843170502,2844.65013159512,1.53288301688316,0.032,0.139,0.031,0.17,-0.251324951938058
10,50,0.6,19,1,0.0522653615759593,2373.05306908537,1.49381836119007,0.035,0.106,0.028,0.104,-0.251463821088779
10,30,0.4,12,1,0.139610672328335,2690.18779168943,1.46798493870287,0.036,0.139,0.034,0.17,-0.251678431957481
12,30,0.25,10,1,0.0986493235937353,2897.39596966601,1.4654899523005,0.026,0.119,0.029,0.175,-0.252029873153014
12,10,0.25,9,1,0.113249280380203,2926.27617257549,1.56811580329944,0.034,0.133,0.03,0.159,-0.253248491320967
10,40,0.25,9,1,0.086089205984781,2682.23776598844,1.42694698941185,0.03,0.1,0.032,0.17,-0.254493604656982
8,10,0.45,22,0,0.120552895576371,3337.16280298955,1.3449993837401,0.047,0.198,0.036,0.127,-0.255088902648162
8,50,0.1,4,1,0.161643592070185,2771.84958825946,1.59592716983722,0.04,0.139,0.045,0.173,-0.256356645500564
10,40,0.15,7,1,0.108150158284782,2887.67300649505,1.61611833181602,0.038,0.107,0.034,0.17,-0.258078024572068
12,30,0.45,14,1,0.111560382047192,2647.66606823124,1.61191075194756,0.025,0.119,0.025,0.175,-0.261247389736002
12,20,0.2,9,1,0.0861403496996182,2549.83050434775,1.49681377129005,0.033,0.107,0.033,0.153,-0.262049502211999
12,30,0.2,8,1,0.0972195798210262,3033.18694247945,1.60546765141408,0.027,0.119,0.032,0.175,-0.264667838196409
10,20,0.6,26,3,0.0737689923987264,2253.29150731383,1.31645979619938,0.042,0.135,0.035,0.11,-0.26721241185552
12,40,0.2,7,1,0.114658608659878,3011.89755773647,1.63658669845394,0.033,0.133,0.034,0.181,-0.279405183298692
12,30,0.3,11,1,0.0975421073624252,2758.81882132399,1.58033285012117,0.028,0.119,0.035,0.175,-0.279550236583492
10,30,0.35,12,1,0.103985145494534,2726.10355934639,1.43174503915192,0.036,0.139,0.035,0.17,-0.282884180453339
12,20,0.15,6,1,0.114198985286525,2990.2507302432,1.50953415158896,0.033,0.145,0.037,0.182,-0.284241893360211
10,20,0.45,21,2,0.0984786037707621,2644.06288530689,1.3560064704018,0.041,0.131,0.037,0.182,-0.295918899004073
12,10,0.3,11,1,0.0779613534840621,2739.89766694742,1.59246016280566,0.03,0.133,0.033,0.159,-0.299289779449133
10,40,0.6,22,2,0.0651271779001745,2262.22896392905,1.45296178775551,0.033,0.1,0.031,0.17,-0.301057552678924
8,30,0.6,15,1,0.0860233730795679,1962.99497161961,1.70358340609959,0.036,0.118,0.031,0.132,-0.303185218949411
